abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified
COLCAMCO,09/03/2001 00:00,2830,cfs,,,09/25/2018 15:15
COLCAMCO,09/04/2001 00:00,2800,cfs,,,09/25/2018 15:15
COLCAMCO,09/05/2001 00:00,2760,cfs,,,09/25/2018 15:15
COLCAMCO,09/06/2001 00:00,2730,cfs,,,09/25/2018 15:15
COLCAMCO,09/07/2001 00:00,2680,cfs,,,09/25/2018 15:15
COLCAMCO,09/08/2001 00:00,2760,cfs,,,09/25/2018 15:15
COLCAMCO,09/09/2001 00:00,2870,cfs,,,09/25/2018 15:15
COLCAMCO,09/10/2001 00:00,2870,cfs,,,09/25/2018 15:15
COLCAMCO,09/11/2001 00:00,2760,cfs,,,09/25/2018 15:15
COLCAMCO,09/12/2001 00:00,2710,cfs,,,09/25/2018 15:15
COLCAMCO,09/13/2001 00:00,2670,cfs,,,09/25/2018 15:15
COLCAMCO,09/14/2001 00:00,2650,cfs,,,09/25/2018 15:15
COLCAMCO,09/15/2001 00:00,2560,cfs,,,09/25/2018 15:15
COLCAMCO,09/16/2001 00:00,2490,cfs,,,09/25/2018 15:15
COLCAMCO,09/17/2001 00:00,2490,cfs,,,09/25/2018 15:15
COLCAMCO,09/18/2001 00:00,2520,cfs,,,09/25/2018 15:15
COLCAMCO,09/19/2001 00:00,2580,cfs,,,09/25/2018 15:15
COLCAMCO,09/20/2001 00:00,2530,cfs,,,09/25/2018 15:15
COLCAMCO,09/21/2001 00:00,2450,cfs,,,09/25/2018 15:15
COLCAMCO,09/22/2001 00:00,2410,cfs,,,09/25/2018 15:15
COLCAMCO,09/23/2001 00:00,2360,cfs,,,09/25/2018 15:15
COLCAMCO,09/24/2001 00:00,2310,cfs,,,09/25/2018 15:15
COLCAMCO,09/25/2001 00:00,2170,cfs,,,09/25/2018 15:15
COLCAMCO,09/26/2001 00:00,2140,cfs,,,09/25/2018 15:15
COLCAMCO,09/27/2001 00:00,2120,cfs,,,09/25/2018 15:15
COLCAMCO,09/28/2001 00:00,2080,cfs,,,09/25/2018 15:15
COLCAMCO,09/29/2001 00:00,,cfs,,,
COLCAMCO,09/30/2001 00:00,2050,cfs,,,09/25/2018 15:15
COLCAMCO,10/01/2001 00:00,2040,cfs,,,09/25/2018 15:15
COLCAMCO,10/02/2001 00:00,2040,cfs,,,09/25/2018 15:15
COLCAMCO,10/03/2001 00:00,2020,cfs,,,09/25/2018 15:15
COLCAMCO,10/04/2001 00:00,2010,cfs,,,09/25/2018 15:15
COLCAMCO,10/05/2001 00:00,1960,cfs,,,09/25/2018 15:15
COLCAMCO,10/06/2001 00:00,1830,cfs,,,09/25/2018 15:15
COLCAMCO,10/07/2001 00:00,,cfs,,,
COLCAMCO,10/08/2001 00:00,1890,cfs,,,09/25/2018 15:15
COLCAMCO,10/09/2001 00:00,2350,cfs,,,09/25/2018 15:15
COLCAMCO,10/10/2001 00:00,2170,cfs,,,09/25/2018 15:15
COLCAMCO,10/11/2001 00:00,2060,cfs,,,09/25/2018 15:15
COLCAMCO,10/12/2001 00:00,2020,cfs,,,09/25/2018 15:15
COLCAMCO,10/13/2001 00:00,2020,cfs,,,09/25/2018 15:15
COLCAMCO,10/14/2001 00:00,2040,cfs,,,09/25/2018 15:15
COLCAMCO,10/15/2001 00:00,2180,cfs,,,09/25/2018 15:15
COLCAMCO,10/16/2001 00:00,2260,cfs,,,09/25/2018 15:15
COLCAMCO,10/17/2001 00:00,2250,cfs,,,09/25/2018 15:15
COLCAMCO,10/18/2001 00:00,2240,cfs,,,09/25/2018 15:15
COLCAMCO,10/19/2001 00:00,2190,cfs,,,09/25/2018 15:15
COLCAMCO,10/20/2001 00:00,2150,cfs,,,09/25/2018 15:15
COLCAMCO,10/21/2001 00:00,2140,cfs,,,09/25/2018 15:15
COLCAMCO,10/22/2001 00:00,2150,cfs,,,09/25/2018 15:15
COLCAMCO,10/23/2001 00:00,2130,cfs,,,09/25/2018 15:15
COLCAMCO,10/24/2001 00:00,,cfs,,,
COLCAMCO,10/25/2001 00:00,,cfs,,,
COLCAMCO,10/26/2001 00:00,,cfs,,,
COLCAMCO,10/27/2001 00:00,,cfs,,,
COLCAMCO,10/28/2001 00:00,,cfs,,,
COLCAMCO,10/29/2001 00:00,1950,cfs,,,09/25/2018 15:15
COLCAMCO,10/30/2001 00:00,1900,cfs,,,09/25/2018 15:15
COLCAMCO,10/31/2001 00:00,1890,cfs,,,09/25/2018 15:15
COLCAMCO,11/01/2001 00:00,1930,cfs,,,09/25/2018 15:15
COLCAMCO,11/02/2001 00:00,1940,cfs,,,09/25/2018 15:15
COLCAMCO,11/03/2001 00:00,,cfs,,,
COLCAMCO,11/04/2001 00:00,1870,cfs,,,09/25/2018 15:15
COLCAMCO,11/05/2001 00:00,1900,cfs,,,09/25/2018 15:15
COLCAMCO,11/06/2001 00:00,1900,cfs,,,09/25/2018 15:15
COLCAMCO,11/07/2001 00:00,1870,cfs,,,09/25/2018 15:15
COLCAMCO,11/08/2001 00:00,1890,cfs,,,09/25/2018 15:15
COLCAMCO,11/09/2001 00:00,1930,cfs,,,09/25/2018 15:15
COLCAMCO,11/10/2001 00:00,1840,cfs,,,09/25/2018 15:15
COLCAMCO,11/11/2001 00:00,1780,cfs,,,09/25/2018 15:15
COLCAMCO,11/12/2001 00:00,1730,cfs,,,09/25/2018 15:15
COLCAMCO,11/13/2001 00:00,1750,cfs,,,09/25/2018 15:15
COLCAMCO,11/14/2001 00:00,1750,cfs,,,09/25/2018 15:15
